word,phoneme
fais attention a ce que tu dis,fɛt atɑ̃sjɔ̃ a sə kə ty di
il est temps d'y aller,il ɛ tɑ̃ di ale
je vais au cinéma ce week-end,ʒə vɛ o sinema sə wikɛnd
j'ai besoin de vacances,ʒe bəzwɛ̃ də vakɑ̃s
il est important d'écouter,il ɛ ɛ̃pɔʁtɑ̃ dekute
il y a beaucoup de choses à faire,il j a boku də ʃoz a fɛʁ
tu as un joli sourire,ty a ɛ̃ ʒoli suʁiʁ
admirer,admiʁe
combiner,kɔ̃bine
décider,deside
éclairer,eklɛʁe
libérer,libeʁe
connaitre,konɛtʁ
danser,dɑ̃se
évoluer,evolye
expliquer,ɛksplike
